date,state_x,cases,deaths,state_y,anxiety,cough,depression,fever,generalized_anxiety_disorder,nausea,State,State Code,Region,Division
2020-02-17,Illinois,2,0,US-IL,8.0,8.86,4.95,5.45,1.16,2.19,Illinois,IL,Midwest,East North Central
2020-02-17,Massachusetts,1,0,US-MA,7.48,8.26,4.73,4.9,0.99,2.07,Massachusetts,MA,Northeast,New England
2020-02-17,Nebraska,10,0,US-NE,8.54,8.61,5.44,5.6,1.22,2.49,Nebraska,NE,Midwest,West North Central
2020-02-17,Texas,2,0,US-TX,8.07,9.25,4.97,5.28,1.21,2.37,Texas,TX,South,West South Central
2020-02-17,Washington,1,0,US-WA,8.94,8.39,5.77,5.1,1.19,2.42,Washington,WA,West,Pacific
2020-02-17,Wisconsin,1,0,US-WI,7.54,8.56,4.75,5.39,1.14,2.1,Wisconsin,WI,Midwest,East North Central
2020-02-18,Arizona,1,0,US-AZ,8.63,9.71,5.26,5.61,1.21,2.28,Arizona,AZ,West,Mountain
2020-02-18,California,7,0,US-CA,9.0,9.46,5.44,5.68,1.24,2.27,California,CA,West,Pacific
2020-02-18,Illinois,2,0,US-IL,8.23,8.57,4.92,5.57,1.22,2.07,Illinois,IL,Midwest,East North Central
2020-02-18,Massachusetts,1,0,US-MA,8.04,8.39,5.04,5.1,1.2,2.13,Massachusetts,MA,Northeast,New England
2020-02-18,Nebraska,10,0,US-NE,8.62,8.47,5.58,5.82,1.22,2.42,Nebraska,NE,Midwest,West North Central
2020-02-18,Texas,2,0,US-TX,8.37,9.06,5.09,5.23,1.25,2.26,Texas,TX,South,West South Central
2020-02-18,Washington,1,0,US-WA,9.11,8.41,5.94,5.03,1.32,2.35,Washington,WA,West,Pacific
2020-02-18,Wisconsin,1,0,US-WI,7.7,8.47,4.77,5.43,1.1,2.02,Wisconsin,WI,Midwest,East North Central
2020-02-19,Arizona,1,0,US-AZ,8.38,8.92,5.23,5.42,1.24,2.11,Arizona,AZ,West,Mountain
2020-02-19,California,7,0,US-CA,8.92,8.82,5.43,5.38,1.23,2.15,California,CA,West,Pacific
2020-02-19,Illinois,2,0,US-IL,7.99,8.19,4.97,5.14,1.18,2.06,Illinois,IL,Midwest,East North Central
2020-02-19,Massachusetts,1,0,US-MA,7.82,7.87,4.76,4.81,1.12,1.99,Massachusetts,MA,Northeast,New England
2020-02-19,Nebraska,10,0,US-NE,8.57,8.0,5.26,5.03,1.29,2.1,Nebraska,NE,Midwest,West North Central
2020-02-19,Texas,2,0,US-TX,8.17,8.65,5.12,4.86,1.21,2.13,Texas,TX,South,West South Central
2020-02-19,Washington,1,0,US-WA,9.06,8.02,5.79,5.13,1.27,2.27,Washington,WA,West,Pacific
2020-02-19,Wisconsin,1,0,US-WI,7.78,8.23,4.84,5.2,1.23,1.92,Wisconsin,WI,Midwest,East North Central
2020-02-20,Arizona,1,0,US-AZ,8.53,8.86,5.16,5.23,1.21,2.13,Arizona,AZ,West,Mountain
2020-02-20,California,8,0,US-CA,8.76,8.48,5.33,5.12,1.22,2.11,California,CA,West,Pacific
2020-02-20,Illinois,2,0,US-IL,7.78,7.72,4.87,4.9,1.17,2.0,Illinois,IL,Midwest,East North Central
2020-02-20,Massachusetts,1,0,US-MA,7.68,7.64,4.77,4.56,1.13,1.96,Massachusetts,MA,Northeast,New England
2020-02-20,Nebraska,11,0,US-NE,8.49,7.49,5.18,5.15,1.09,2.04,Nebraska,NE,Midwest,West North Central
2020-02-20,Texas,2,0,US-TX,7.87,8.14,4.88,4.55,1.22,2.11,Texas,TX,South,West South Central
2020-02-20,Washington,1,0,US-WA,8.9,7.81,5.75,4.94,1.25,2.23,Washington,WA,West,Pacific
2020-02-20,Wisconsin,1,0,US-WI,7.39,7.79,4.57,4.8,1.14,1.91,Wisconsin,WI,Midwest,East North Central
2020-02-21,Arizona,1,0,US-AZ,7.73,8.36,4.78,4.97,1.07,2.09,Arizona,AZ,West,Mountain
2020-02-21,California,9,0,US-CA,7.93,8.2,4.75,5.04,1.04,2.04,California,CA,West,Pacific
2020-02-21,Illinois,2,0,US-IL,7.07,7.28,4.33,4.66,0.99,1.86,Illinois,IL,Midwest,East North Central
2020-02-21,Massachusetts,1,0,US-MA,7.02,7.25,4.42,4.24,0.98,1.97,Massachusetts,MA,Northeast,New England
2020-02-21,Nebraska,11,0,US-NE,7.32,7.3,4.61,4.74,1.07,2.17,Nebraska,NE,Midwest,West North Central
2020-02-21,Texas,4,0,US-TX,7.09,7.55,4.41,4.31,1.01,2.0,Texas,TX,South,West South Central
2020-02-21,Washington,1,0,US-WA,8.19,7.53,5.3,4.91,1.09,2.18,Washington,WA,West,Pacific
2020-02-21,Wisconsin,1,0,US-WI,6.78,7.37,4.31,4.79,1.01,1.84,Wisconsin,WI,Midwest,East North Central
2020-02-22,Arizona,1,0,US-AZ,7.27,8.3,4.57,4.76,0.8,2.17,Arizona,AZ,West,Mountain
2020-02-22,California,9,0,US-CA,8.02,8.4,4.76,4.82,0.92,2.11,California,CA,West,Pacific
2020-02-22,Illinois,2,0,US-IL,6.82,7.66,4.09,4.67,0.87,2.03,Illinois,IL,Midwest,East North Central
2020-02-22,Massachusetts,1,0,US-MA,6.97,7.06,4.37,4.25,0.83,2.07,Massachusetts,MA,Northeast,New England
2020-02-22,Nebraska,11,0,US-NE,7.33,7.51,4.57,4.97,0.94,2.34,Nebraska,NE,Midwest,West North Central
2020-02-22,Texas,4,0,US-TX,7.11,7.88,4.31,4.41,0.87,2.19,Texas,TX,South,West South Central
2020-02-22,Washington,1,0,US-WA,8.46,7.78,5.42,4.75,0.95,2.27,Washington,WA,West,Pacific
2020-02-22,Wisconsin,1,0,US-WI,6.38,7.48,3.8,4.93,0.84,2.03,Wisconsin,WI,Midwest,East North Central
2020-02-23,Arizona,1,0,US-AZ,8.02,8.33,5.01,4.74,1.0,2.26,Arizona,AZ,West,Mountain
2020-02-23,California,9,0,US-CA,8.53,8.32,5.3,4.96,1.06,2.28,California,CA,West,Pacific
2020-02-23,Illinois,2,0,US-IL,7.53,7.74,4.68,5.08,1.01,2.17,Illinois,IL,Midwest,East North Central
2020-02-23,Massachusetts,1,0,US-MA,7.78,7.04,4.78,4.42,1.01,1.98,Massachusetts,MA,Northeast,New England
2020-02-23,Nebraska,11,0,US-NE,8.05,7.66,5.03,5.27,1.15,2.31,Nebraska,NE,Midwest,West North Central
2020-02-23,Texas,4,0,US-TX,7.78,8.2,4.93,4.65,0.99,2.33,Texas,TX,South,West South Central
2020-02-23,Washington,1,0,US-WA,9.04,7.73,5.76,5.0,1.09,2.37,Washington,WA,West,Pacific
2020-02-23,Wisconsin,1,0,US-WI,7.34,7.89,4.63,5.2,1.02,2.11,Wisconsin,WI,Midwest,East North Central
2020-02-24,Arizona,1,0,US-AZ,8.51,8.47,5.31,4.93,1.18,2.28,Arizona,AZ,West,Mountain
2020-02-24,California,11,0,US-CA,8.97,8.2,5.38,4.99,1.18,2.15,California,CA,West,Pacific
2020-02-24,Illinois,2,0,US-IL,8.15,7.82,5.03,5.2,1.19,2.11,Illinois,IL,Midwest,East North Central
2020-02-24,Massachusetts,1,0,US-MA,8.16,7.16,4.97,4.42,1.18,1.91,Massachusetts,MA,Northeast,New England
2020-02-24,Nebraska,12,0,US-NE,8.86,7.78,5.65,5.24,1.27,2.39,Nebraska,NE,Midwest,West North Central
2020-02-24,Texas,10,0,US-TX,8.11,8.28,5.07,4.91,1.21,2.26,Texas,TX,South,West South Central
2020-02-24,Washington,5,0,US-WA,9.44,8.07,6.11,5.1,1.27,2.33,Washington,WA,West,Pacific
2020-02-24,Wisconsin,1,0,US-WI,7.72,7.9,4.92,5.29,1.14,2.08,Wisconsin,WI,Midwest,East North Central
2020-02-25,Arizona,1,0,US-AZ,8.48,8.74,5.26,5.07,1.22,2.17,Arizona,AZ,West,Mountain
2020-02-25,California,11,0,US-CA,8.95,8.54,5.39,5.27,1.18,2.04,California,CA,West,Pacific
2020-02-25,Illinois,2,0,US-IL,8.02,8.05,4.9,5.08,1.14,2.02,Illinois,IL,Midwest,East North Central
2020-02-25,Massachusetts,1,0,US-MA,8.22,7.5,5.09,4.55,1.17,1.9,Massachusetts,MA,Northeast,New England
2020-02-25,Nebraska,13,0,US-NE,8.44,8.29,5.51,5.12,1.2,2.26,Nebraska,NE,Midwest,West North Central
2020-02-25,Texas,10,0,US-TX,8.13,8.65,4.99,4.9,1.19,2.17,Texas,TX,South,West South Central
2020-02-25,Utah,1,0,US-UT,5.64,5.49,3.77,3.17,0.78,1.55,Utah,UT,West,Mountain
2020-02-25,Washington,5,0,US-WA,9.41,8.66,6.05,5.43,1.31,2.25,Washington,WA,West,Pacific
2020-02-25,Wisconsin,1,0,US-WI,7.81,8.18,4.75,5.35,1.14,1.91,Wisconsin,WI,Midwest,East North Central
2020-02-26,Arizona,1,0,US-AZ,8.08,9.05,5.25,5.63,1.17,2.02,Arizona,AZ,West,Mountain
2020-02-26,California,26,0,US-CA,8.74,8.95,5.28,6.03,1.15,1.96,California,CA,West,Pacific
2020-02-26,Illinois,2,0,US-IL,7.89,8.28,4.87,5.55,1.18,1.96,Illinois,IL,Midwest,East North Central
2020-02-26,Massachusetts,1,0,US-MA,8.18,7.8,4.92,4.87,1.15,1.87,Massachusetts,MA,Northeast,New England
2020-02-26,Nebraska,13,0,US-NE,8.47,8.47,5.31,5.83,1.21,2.08,Nebraska,NE,Midwest,West North Central
2020-02-26,Texas,10,0,US-TX,7.89,8.95,4.86,5.37,1.16,2.06,Texas,TX,South,West South Central
2020-02-26,Utah,1,0,US-UT,5.7,5.67,3.7,3.52,0.81,1.45,Utah,UT,West,Mountain
2020-02-26,Washington,5,0,US-WA,9.28,9.08,5.87,6.22,1.27,2.25,Washington,WA,West,Pacific
2020-02-26,Wisconsin,1,0,US-WI,7.54,8.31,4.83,5.46,1.1,1.97,Wisconsin,WI,Midwest,East North Central
2020-02-27,Arizona,1,0,US-AZ,8.01,9.53,5.07,7.23,1.11,2.09,Arizona,AZ,West,Mountain
2020-02-27,California,26,0,US-CA,8.69,9.83,5.18,6.79,1.17,1.92,California,CA,West,Pacific
2020-02-27,Illinois,2,0,US-IL,7.78,8.58,4.67,5.98,1.1,1.94,Illinois,IL,Midwest,East North Central
2020-02-27,Massachusetts,1,0,US-MA,7.78,7.62,4.74,5.34,1.09,1.8,Massachusetts,MA,Northeast,New England
2020-02-27,Nebraska,13,0,US-NE,8.17,8.77,5.15,6.1,1.14,2.1,Nebraska,NE,Midwest,West North Central
2020-02-27,Texas,10,0,US-TX,7.66,9.18,4.65,5.98,1.11,1.98,Texas,TX,South,West South Central
2020-02-27,Utah,1,0,US-UT,5.45,5.82,3.48,3.83,0.75,1.27,Utah,UT,West,Mountain
2020-02-27,Washington,5,0,US-WA,9.09,9.64,5.67,6.84,1.29,2.12,Washington,WA,West,Pacific
2020-02-27,Wisconsin,1,0,US-WI,7.31,8.46,4.5,6.07,1.08,1.99,Wisconsin,WI,Midwest,East North Central
2020-02-28,Arizona,1,0,US-AZ,7.46,8.72,4.55,6.15,0.97,1.97,Arizona,AZ,West,Mountain
2020-02-28,California,27,0,US-CA,7.82,9.38,4.62,6.17,1.05,1.9,California,CA,West,Pacific
2020-02-28,Illinois,2,0,US-IL,6.98,8.05,4.16,5.1,0.94,1.81,Illinois,IL,Midwest,East North Central
2020-02-28,Massachusetts,1,0,US-MA,6.99,7.25,4.22,4.62,0.95,1.71,Massachusetts,MA,Northeast,New England
